datarate,PCell_Downlink_TB_Size,SCell_Downlink_TB_Size,PCell_SNR_1,PCell_SNR_2,SCell_SNR_1,SCell_SNR_2,PCell_RSSI_1,PCell_RSSI_2,PCell_RSSI_max,PCell_RSRP_1,PCell_RSRP_2,PCell_RSRP_max,PCell_Downlink_Average_MCS,SCell_Downlink_Average_MCS,PCell_Downlink_Num_RBs,SCell_Downlink_Num_RBs,date
72100000.0,6369107.0,5854310.0,20.785000038146972,23.844999961853027,22.617999935150145,26.765999908447267,-39.650625,-44.345625,-44.345625,-74.613125,-78.638125,-74.613125,25.0,25.0,44837.0,42081.0,51
81400000.0,6775656.0,5175510.0,20.819000034332277,23.760999927520754,22.061999912261964,26.811000003814698,-39.86,-44.45625,-44.45625,-74.408125,-78.504375,-74.408125,26.0,23.0,47009.0,42416.0,52
87600000.0,6547629.0,5560123.0,20.311000022888184,23.160000095367433,21.815999870300292,26.948999996185304,-39.7275,-44.306875,-44.306875,-74.59,-78.6125,-74.59,25.0,23.0,47581.0,43908.0,53
86500000.0,5748807.0,6442895.0,20.685,23.553999919891357,22.422000102996826,27.010000019073487,-39.95625,-44.720625,-44.720625,-74.4,-78.7025,-74.4,24.0,25.0,43028.0,46716.0,54
85300000.0,5956727.0,5553858.0,20.814999980926515,22.944999980926514,22.936000022888184,26.550000019073487,-39.92125,-45.115,-45.115,-74.439375,-79.385625,-74.439375,25.0,25.0,43300.0,38572.0,55
69900000.0,4238505.0,4514706.0,20.467000007629395,22.458999977111816,23.027000064849855,26.63999994277954,-40.0975,-45.186875,-45.186875,-74.48125,-79.345625,-74.48125,25.0,25.0,30832.0,32150.0,56
61800000.0,4469217.0,4666621.0,20.81300006866455,23.088999996185304,22.609999980926514,26.92799997329712,-39.79875,-44.759375,-44.759375,-74.396875,-78.8675,-74.396875,26.0,25.0,30563.0,33439.0,57
64500000.0,4024586.0,3984052.0,20.92799997329712,23.52900007247925,22.87300008773804,26.834000034332277,-40.001875,-44.699375,-44.699375,-74.35125,-78.768125,-74.35125,25.0,25.0,28722.0,28232.0,58
57300000.0,3699485.0,5064319.0,20.29200002670288,23.5560001373291,22.985000095367432,26.634999885559083,-40.62875,-45.115,-45.115,-75.05625,-79.005625,-75.05625,24.0,25.0,27962.0,35904.0,59
56300000.0,4118940.0,4852348.0,20.406000003814697,24.122999877929686,22.950000019073485,25.788999996185304,-40.333125,-44.651875,-44.651875,-75.29,-79.18,-75.29,25.0,24.0,29051.0,36626.0,60
61600000.0,3107209.0,4218388.0,20.916999912261964,24.431999950408937,23.401999950408936,25.661999931335448,-39.883125,-44.244375,-44.244375,-74.74375,-78.745,-74.74375,25.0,25.0,21370.0,30621.0,61
52300000.0,3040005.0,3911475.0,21.092999897003175,24.264999980926515,23.242999992370606,26.06099992752075,-39.54625,-44.42125,-44.42125,-74.3525,-78.801875,-74.3525,25.0,24.0,21622.0,28933.0,62
47200000.0,2785490.0,4518988.0,20.71299997329712,23.92500005722046,23.58699998855591,25.93699996948242,-39.978125,-44.515625,-44.515625,-74.8175,-78.878125,-74.8175,24.0,25.0,21289.0,32508.0,63
64700000.0,3612300.0,6579153.0,20.469000034332275,24.113000087738037,24.143000049591066,25.71599998474121,-40.25375,-44.659375,-44.659375,-75.169375,-79.013125,-75.169375,24.0,25.0,26582.0,46801.0,64
64500000.0,2186984.0,5633545.0,20.307999954223632,23.7089999961853,23.946999912261962,25.546000003814697,-40.396875,-44.565,-44.565,-75.14125,-79.008125,-75.14125,23.0,25.0,18196.0,40780.0,65
57700000.0,2983320.0,5830012.0,20.37799991607666,24.246999950408934,23.87999994277954,26.01900001525879,-40.070625,-44.52875,-44.52875,-75.049375,-78.995,-75.049375,23.0,26.0,24602.0,39756.0,66
66599999.99999999,2305854.0,6227539.0,20.81100004196167,23.88900007247925,23.867999954223635,25.78899990081787,-40.145,-44.77875,-44.77875,-74.62,-79.00375,-74.62,22.0,25.0,20133.0,44123.0,67
56500000.0,2372945.0,6397036.0,21.08799997329712,23.69099998474121,23.231000061035157,25.46599998474121,-40.175,-45.196875,-45.196875,-74.196875,-79.086875,-74.196875,24.0,25.0,18043.0,44308.0,68
75100000.0,4565078.0,7076123.0,21.000999965667724,23.64900001525879,23.02099998474121,25.67000005722046,-39.684375,-44.613125,-44.613125,-74.3475,-78.99625,-74.3475,26.0,26.0,30832.0,46156.0,69
81300000.0,3223438.0,7198596.0,20.577999935150146,23.665000019073485,23.43300003051758,26.124000129699706,-40.29625,-44.525625,-44.525625,-75.103125,-79.04375,-75.103125,26.0,27.0,21839.0,44902.0,70
67300000.0,4078058.0,7478787.0,20.77400001525879,23.905000019073487,23.021000061035156,25.79699996948242,-40.748125,-44.80625,-44.80625,-74.97375,-78.916875,-74.97375,26.0,27.0,27789.0,47190.0,71
85400000.0,2685384.0,7182544.0,20.692000064849854,23.754999980926513,23.329999980926512,25.981000022888182,-40.81375,-44.951875,-44.951875,-75.055625,-78.94875,-75.055625,26.0,27.0,18401.0,44182.0,72
66099999.99999999,3581376.0,6973245.0,20.13100004196167,23.257000045776365,22.207999954223634,25.63599998474121,-41.17875,-45.11625,-45.11625,-75.370625,-79.041875,-75.370625,25.0,25.0,25844.0,48270.0,73
83300000.0,3276068.0,8414228.0,20.659999942779542,23.03299997329712,21.987999897003174,26.14099998474121,-41.123125,-44.836875,-44.836875,-75.24,-79.018125,-75.24,26.0,27.0,21890.0,48864.0,74
86300000.0,3670145.0,8114531.0,20.858999996185304,23.27700002670288,22.30599998474121,26.473000011444093,-41.226875,-44.920625,-44.920625,-75.220625,-79.111875,-75.220625,26.0,28.0,23785.0,44044.0,75
72600000.0,3301310.0,7290442.0,20.302999954223633,23.45400001525879,22.05,26.302000045776367,-41.7325,-44.55125,-44.55125,-75.91,-78.809375,-75.91,26.0,27.0,21270.0,43864.0,76
74600000.0,3252227.0,7511666.0,19.771000061035156,23.38399995803833,21.98200008392334,26.570999927520752,-42.18,-44.67375,-44.67375,-76.656875,-79.171875,-76.656875,27.0,27.0,19443.0,46982.0,77
86800000.0,3348384.0,8525949.0,20.030999965667725,23.26499996185303,22.357999954223633,27.352000007629396,-42.310625,-45.218125,-45.218125,-76.391875,-79.195,-76.391875,28.0,28.0,19941.0,49212.0,78
85500000.0,6125577.0,6992103.0,20.43899991989136,23.19499996185303,20.423000087738036,26.167000007629394,-41.47625,-43.823125,-43.823125,-76.044375,-78.599375,-76.044375,27.0,26.0,38266.0,46480.0,79
82600000.0,3059998.0,8184209.0,16.724000015258788,22.78299997329712,22.71799987792969,25.324999961853027,-45.33,-45.144375,-45.144375,-79.3975,-78.82875,-78.134375,27.0,28.0,18937.0,47718.0,80
77300000.0,3727593.0,7065329.0,17.189000005722047,20.45599998474121,20.14700002670288,24.548999977111816,-43.021875,-48.721875,-48.721875,-78.223125,-82.625,-78.223125,27.0,25.0,23147.0,50762.0,81
73000000.0,4232838.0,6352008.0,16.643000068664552,20.145000095367433,20.48900005340576,23.273000011444093,-44.60625,-50.25625,-50.25625,-79.621875,-84.075625,-79.621875,26.0,26.0,28409.0,41599.0,82
73100000.0,3146716.0,6964910.0,13.521999969482422,19.783999977111815,22.422999992370606,22.555999965667723,-47.02125,-50.71125,-50.71125,-81.959375,-84.42125,-81.955,24.0,25.0,24093.0,47478.0,83
57600000.0,2181988.0,5053567.0,9.65100000143051,16.700000019073485,18.813000011444093,20.241000022888183,-52.458125,-51.01625,-51.01625,-87.019375,-84.943125,-84.8425,21.0,22.0,25621.0,43556.0,84
53800000.0,1728188.0,5415565.0,9.048999989032746,17.024000072479247,16.293999977111817,19.810999946594237,-52.19625,-52.248125,-52.248125,-87.269375,-86.01875,-85.734375,18.0,22.0,24126.0,47413.0,85
43300000.0,2262385.0,3983548.0,9.152999994754792,15.177000045776367,14.624000034332276,18.160999946594238,-52.65625,-53.86625,-53.86625,-87.845625,-88.51375,-87.56625,16.0,19.0,35105.0,46280.0,86
42200000.0,1513743.0,3526619.0,8.067000035047531,15.603000049591065,14.755999994277953,17.22200005531311,-53.320625,-54.51625,-54.51625,-88.135625,-88.293125,-87.29625,18.0,18.0,21948.0,41364.0,87
37400000.0,1604625.0,4332258.0,6.486999992132187,14.812000079154968,13.528999938964844,17.16200011253357,-54.589375,-56.191875,-56.191875,-89.723125,-90.055,-88.96625,20.0,18.0,23859.0,53778.0,88
37900000.0,1460216.0,3228454.0,4.508999991118908,15.953000001907348,14.402000064849853,17.452000074386596,-57.82875,-57.84125,-57.84125,-93.21875,-91.7925,-91.423125,22.0,19.0,24233.0,39134.0,89
35700000.0,1803793.0,3382215.0,4.077999987304211,14.37399998664856,11.559999976158142,15.57,-57.430625,-58.129375,-58.129375,-93.8975,-93.25,-92.77375,21.0,18.0,30826.0,48193.0,90
32200000.000000004,1393730.0,3025695.0,3.8449999995529653,14.423000054359436,10.761999945640564,14.099000015258788,-58.55375,-60.093125,-60.093125,-94.691875,-94.70625,-93.8175,19.0,16.0,30118.0,44204.0,91
30000000.0,1600754.0,2558002.0,2.597999992519617,12.220999989509583,9.113000025749207,12.788999977111816,-58.895,-60.35625,-60.35625,-96.060625,-95.633125,-95.07625,19.0,13.0,34478.0,47794.0,92
31000000.0,1866019.0,2644693.0,0.1780000014603138,10.837999992370605,9.13099998474121,12.836999988555908,-59.204375,-60.371875,-60.371875,-97.363125,-96.451875,-96.181875,19.0,14.0,41660.0,45431.0,93
27000000.0,1129471.0,2126385.0,-0.2500000039488077,11.035000009536743,8.789999995231629,13.410999975204469,-60.89875,-62.935625,-62.935625,-98.7625,-97.8975,-97.743125,17.0,17.0,29231.0,40208.0,94
22400000.0,1113512.0,2121048.0,-1.6350000013411046,11.084000043869018,7.0890000057220455,12.730999994277955,-61.833125,-63.505,-63.505,-100.176875,-98.33375,-98.263125,18.0,18.0,25915.0,43972.0,95
